,count_A,count_B,ratio_A,ratio_B,log2_fold
GEE,762,152,0.00037244075283903566,7.429264361132751e-05,2.3257196740421384
GEH,0,1,4.887673921765707e-16,4.887673926653382e-07,-29.897352855428956
GES,3,0,1.4663021770184795e-06,4.887673921765707e-16,31.482315355188316
GET,2,0,9.77534784841909e-07,4.887673921765707e-16,30.89735285470761
GGB,104,1,5.083180878685212e-05,4.887673926653382e-07,6.700439716712269
GGC,2581,1095,0.0012615086392082178,0.0005352002944338338,1.2369992716046754
GGD,88,13,4.3011530512026994e-05,6.3539760987841865e-06,2.758991900401623
GGE,747,120,0.00036510924195638707,5.865208706167726e-05,2.6380738371706274
GGG,7980,1303,0.0039003637895695235,0.0006368639120065604,2.6145516625406473
GGH,1640,381,0.0008015785231700647,0.0001862203764197622,2.105832912009217
GGS,928,109,0.0004535761399403464,5.3275645747734975e-05,3.089796670338965
GGT,1636,193,0.0007996234536013585,9.433210669056691e-05,3.083499995667075
GHB,7,0,3.4213717457247623e-06,4.887673921765707e-16,32.70470777624996
GHC,202,151,9.873101322015605e-05,7.380387621915094e-05,0.41980674342430363
GHD,13,0,6.3539760987841865e-06,4.887673921765707e-16,33.59779257223833
GHE,9,12,4.398906530077904e-06,5.865208706607616e-06,-0.41503749923876876
GHG,177,68,8.651182841574178e-05,3.3236182668495576e-05,1.3801427088195928
GHH,1912,502,0.000934523253842092,0.00024536123087312724,1.9293232540278575
GHS,43,8,2.1016997864081305e-05,3.910139137901333e-06,2.426264754555312
GHT,214,78,0.0001045962219262749,3.812385659026129e-05,1.4560647675271439
GSB,10,0,4.887673922254475e-06,4.887673921765707e-16,33.21928094901789
GSC,740,112,0.0003616878702111511,5.4741947924264693e-05,2.7240265384477764
GSE,31,2,1.515178915796246e-05,9.77534784841909e-07,3.9541963097120663
GSG,18,2,8.79781305966704e-06,9.77534784841909e-07,3.1699250008011144
GSH,44,5,2.1505765256257876e-05,2.4438369613716212e-06,3.137503523494184
GSS,71,2,3.470248484502529e-05,9.77534784841909e-07,5.149747118803654
GST,93,1,4.5455367472909846e-05,4.887673926653382e-07,6.539158809680849
GTB,8,0,3.910139137901333e-06,4.887673921765707e-16,32.8973528541666
GTC,826,240,0.0004037218659383362,0.00011730417412286573,1.7831073758066622
GTD,10,1,4.887673922254475e-06,4.887673926653382e-07,3.321928093588937
GTE,84,20,4.105646094332071e-05,9.775347844020181e-06,2.0703893278364385
GTG,344,152,0.00016813598290922908,7.429264361132751e-05,1.178337241253215
GTH,136,21,6.647236533650238e-05,1.0264115236196753e-05,2.695145418413487
GTS,412,56,0.0002013721655772359,2.7370973962376726e-05,2.8791456051033535
GTT,1336,213,0.0006529932359483873,0.00010410745453409833,2.6489946722425204
HBC,45,0,2.199453264843445e-05,4.887673921765707e-16,35.38920595034799
HBS,2,0,9.77534784841909e-07,4.887673921765707e-16,30.89735285470761
HCB,19,2,9.28658045184361e-06,9.77534784841909e-07,3.247927512798169
HCC,12315,24928,0.006019170434654958,0.012183993552178043,-1.0173505106752865
HCD,1006,878,0.0004916999965301189,0.0004291377703315179,0.19633746026995988
HCE,303,677,0.0001480965198299897,0.0003308955245040271,-1.1598380400994153
HCG,441,200,0.00021554641995035644,9.775347843580291e-05,1.140778655778854
HCH,4093,8018,0.002000524936179193,0.003918936950472233,-0.9700837507075132
HCS,1058,413,0.0005171159009233005,0.00020186093296941247,1.3571259406924505
HCT,2654,2153,0.0012971886588371074,0.0010523161953566455,0.301820051202833
HDB,2,0,9.77534784841909e-07,4.887673921765707e-16,30.89735285470761
